id,Class,petal length,petal width,sepal length,sepal width
63,Iris-versicolor,4,1,5.8,4.16
64,Iris-versicolor,4.7,1.4,5.7,4.2
65,Iris-versicolor,3.6,1.3,5.4,3.9
66,Iris-versicolor,4.4,1.4,5.1,3.5
67,Iris-versicolor,4.5,1.5,5.7,3.8
68,Iris-versicolor,4.1,1,5.1,3.8
69,Iris-versicolor,4.5,1.5,5.4,3.4
70,Iris-versicolor,3.9,1.1,5.1,3.7
71,Iris-versicolor,4.8,1.8,4.8,3.6
72,Iris-versicolor,4,1.3,5.3,3.3
73,Iris-versicolor,4.9,1.5,4.1,3.4
74,Iris-versicolor,4.7,1.2,4.9,3
75,Iris-versicolor,4.3,1.3,4.7,3.2
76,Iris-versicolor,4.4,1.4,4.6,3.1
77,Iris-versicolor,4.8,1.4,5.24,3.6
78,Iris-versicolor,5,1.7,5.28,3.9
79,Iris-versicolor,4.5,1.5,4.9,3.4
80,Iris-versicolor,3.5,1,5.3,3.4
81,Iris-versicolor,3.8,1.1,4.34,2.12
82,Iris-versicolor,3.7,1,4.39,3.1
83,Iris-versicolor,3.9,1.2,5.7,3.7
84,Iris-versicolor,5.1,1.6,4.8,3.4
85,Iris-versicolor,4.5,1.5,4.8,3
86,Iris-versicolor,4.5,1.6,4.3,3
87,Iris-versicolor,4.7,1.5,5.8,4.24
88,Iris-versicolor,4.4,1.3,5.7,4.28
89,Iris-versicolor,4.1,1.3,5.4,3.9
90,Iris-versicolor,4,1.3,5.1,3.5
91,Iris-versicolor,4.4,1.2,5.7,3.8
92,Iris-versicolor,4.6,1.4,5.1,3.8
93,Iris-versicolor,4,1.2,5.4,3.4
94,Iris-versicolor,3.3,1,5.1,3.7
95,Iris-versicolor,4.2,1.3,4.9,3.6
96,Iris-versicolor,4.2,1.2,5.4,3.3
97,Iris-versicolor,4.2,1.3,4.11,3.4
98,Iris-versicolor,4.3,1.3,4.9,3
99,Iris-versicolor,3,1.1,4.7,3.2
100,Iris-versicolor,4.1,1.3,4.6,3.1
101,Iris-virginica,6,2.5,5.32,3.6
102,Iris-virginica,5.1,1.9,5.36,3.9
103,Iris-virginica,5.9,2.1,4.1,3.4
104,Iris-virginica,5.6,1.8,5.4,3.4
105,Iris-virginica,5.8,2.2,4.44,2.13
106,Iris-virginica,6.6,2.1,4.49,3.1
107,Iris-virginica,4.5,1.7,5.8,3.7
108,Iris-virginica,6.3,1.8,4.8,3.4
109,Iris-virginica,5.8,1.8,4.8,3
110,Iris-virginica,6.1,2.5,4.3,3
111,Iris-virginica,5.1,2,5.8,4.32
112,Iris-virginica,5.3,1.9,5.7,4.36
113,Iris-virginica,5.5,2.1,5.4,3.9
114,Iris-virginica,5,2,5.1,3.5
115,Iris-virginica,5.1,2.4,5.7,3.8
116,Iris-virginica,5.3,2.3,5.1,3.8
117,Iris-virginica,5.5,1.8,5.4,3.4
118,Iris-virginica,6.7,2.2,5.1,3.7
119,Iris-virginica,6.9,2.3,4.1,3.6
120,Iris-virginica,5,1.5,5.5,3.3
121,Iris-virginica,5.7,2.3,4.12,3.4
122,Iris-virginica,4.9,2,4.9,3
123,Iris-virginica,6.7,2,4.7,3.2
124,Iris-virginica,4.9,1.8,4.6,3.1
125,Iris-virginica,5.7,2.1,5.4,3.6
126,Iris-virginica,6,1.8,5.44,3.9
127,Iris-virginica,4.8,1.8,4.11,3.4
128,Iris-virginica,4.9,1.8,5.5,3.4
129,Iris-virginica,5.6,2.1,4.54,2.14
130,Iris-virginica,5.8,1.6,4.59,3.1
131,Iris-virginica,6.1,1.9,5.9,3.7
132,Iris-virginica,6.4,2,4.8,3.4
133,Iris-virginica,5.6,2.2,4.8,3
134,Iris-virginica,5.1,1.5,4.3,3
135,Iris-virginica,5.6,1.4,5.8,4.4
136,Iris-virginica,6.1,2.3,5.7,4.44
137,Iris-virginica,5.6,2.4,5.4,3.9
138,Iris-virginica,5.5,1.8,5.1,3.5
139,Iris-virginica,4.8,1.8,5.7,3.8
140,Iris-virginica,5.4,2.1,5.1,3.8
141,Iris-virginica,5.6,2.4,5.4,3.4
142,Iris-virginica,5.1,2.3,5.1,3.7
143,Iris-virginica,5.1,1.9,4.11,3.6
144,Iris-virginica,5.9,2.3,5.6,3.3
145,Iris-virginica,5.7,2.5,4.13,3.4
146,Iris-virginica,5.2,2.3,4.9,3
147,Iris-virginica,5,1.9,4.7,3.2
148,Iris-virginica,5.2,2,4.6,3.1
149,Iris-virginica,5.4,2.3,5.48,3.6
150,Iris-virginica,5.1,1.8,5.52,3.9
